time,gender,age,general,ideas1,grade1,ideas2,grade2,ideas3,grade3,ideas4,grade4,ideas5,grade5,ideas6,grade6,ideas7,grade7,ideas8,grade8,ideas9,grade9,love
23.10.2024 20:06:33,Мужской,18,Кровь~ красивый цвет~ агрессия~ стиль~ модо~ стритфотография~ закат,Хочется вокруг добавить серо-черную рамку,4,Хочется сделать ярче,0,Просто не нравится ,0,Хочется для телефона чехол с таким цветом,3,А что поменялось ,3,Еда,1,Вроде то же~ что и позапрошлый,4,Цвет рубцов,0,Что поменялось?/,0,Думают умные люди~ а чем я занимаюсь?
23.10.2024 20:07:39,Женский,18,боль~ любовь~ секси помада,тепло~ любовь~ огонь~ ощущение причастности (???) ,3,боль~ глубина~ кровь,4,бабочки~ выпускной~ леденцы,0,знак "стоп"~ блокировка в вк~ отказ,5,трава (????)~ счастье~ жара,4,помада~ карандаш~ эррор,1,календарь ,3,обои~ несчастная любовь~ стена~ кирпич,2,бордо~ альбом дед блонд~ горечь,3,
23.10.2024 20:09:21,Женский,18,Всякая там опасность и страсть ,Этот похож на аленький цветочек~ такой сказочный,4,Темная красная помада,4,Этот ближе к розовому~ как будто сумка typical блонды,2,Это мой прототип красного,5,Кислотный яркий,4,Похож на пастилу,4,Простите к седьмому цвету я перестала их различать :(,5,Стилевый и атмосферный~ тоже как помада,4,Чуть менее приятный~ стервозный красный,4,Жесть я потеряла смысл красного но было оченб интересно спасибо за крутую идею
23.10.2024 20:09:30,Мужской,18,СССР~ кровь~ Стёпа,Ярко-красный,2,СССР~ тёмно-красный,4,Розовато-красный,1,Красный,5,Тот же самый цвет~ что и в предыдущем пункте,5,Малиново-красный,1,Снова тот же самый цвет,5,Коричнево-красный,3,Фиолетово-тёмно-красный,2,сорри за странные ответы~ больше ничего в голову не пришло
23.10.2024 20:11:43,Женский,17,красный — очевидно~ это цвет. это же слово ассоциировали с «красивым». ассоциации с цветами~ любовью и страстью,кровь~ одеяло или плед~ выглядит матовым и мягким,3,розы~ поцелуи~ любовь,4,летнее женское платье~ тюльпаны,1,о да~ сердечки в телеграме~ полотно,5,больше оранжевый~ чем красный. карандаш,5,женское летнее платье ,3,обычный красный~ ассоциаций нет,5,карандаш для губ~ осень,3,секс и деньги~ что-то дорогое~ поцелуи на бумаге,4,та прикол лютый~ оч интересно~ половину цветов не различила
23.10.2024 20:14:09,Мужской,18,Красный цвет ассоциируется у меня с ягодами~ кровью и коммунизмом,клубника,3,вишня~ кровь,2,розы,0,самый чистый красный,5,альфа банк,4,помада,1,оттенок помады или цвет розы,4,кровь,2,оттенок помады~ закат~ вишня,2,очень много цветов которые подошли бы розам
23.10.2024 20:14:11,Женский,18,Наверное~ цвет опасности/страсти~ но честно говоря~ уже ничего не знаю~ сама цвета изучаю - уже голова пухнет,красная шапочка,5,кровь,4,малиновый,3,алые паруса,4,это не тот же самый?,4,опять?,4,ну~ это правда не он же?,4,Кажется~ что-то похожее уже было,3,опять?,3,Кажется~ от моих ответов не будет толку. Ладно~ хотя бы респонденты добавятся
23.10.2024 20:14:40,Женский,21,Красный - первый цвет~ который появляется в цветообозначениях у культур после белого и черного~ а еще если дизайн персонажа содержит красный~ это часто означает~ что персонаж умрет,это оранжевый. довольно приятный,0,мне не нравится. он слишком блеклый для вина и слишком грязный для крови,2,это очень искусственный цвет. такой получается~ когда пластик хотят окрасить в красный и экономят~ и в итоге получается фигня,1,это очень хороший красный!! я бы пригласила его на вечеринку,5,вроде бы хороший~ но вызывает опасения~ я бы такому не доверяла. он слишком намекает на то что он на самом деле рыжий~ прям выпячивает,3,это очень неплохой красный~ но слишком холодный. где страсть?,4,это очень хороший красный! мне больше нечего сказать,5,это коричневый. очень грязный и неприятный.,0,это неплохой цвет~ им можно нарисовать высыхающую кровь и плачущего соратника рядом,3,это были очень хорошие красные кроме оранжевого и коричневого
23.10.2024 20:15:15,Мужской,17,Кровь~ роза~ губы~ машины ,Раздражение,4,Вино~ кровь,5,Цветок~ блеск для губ,1,Опасность~ предупреждение ,4,Опасность,4,Помада~ городские вывески ,4,Предупреждение,4,Вино~ бархат~ помада ,5,Вино,4,
23.10.2024 20:15:26,Женский,21,Красный - самый частый цвет для флагов~ а еще символ красоты во многих странах,Морковь~ осень~ свитер,0,Мода~ помада~ женственность~ менструальная кровь,5,Барби~ 2014 год~ георгины,2,СССР~ коммунизм~ революция~ нижнее белье,4,Кирпич~ китай,2,Париж~ страсть~ сердечки,4,коммунизм~ война~ агрессия,5,Осень~ помада~ бабушка~ кирпич,4,Страсть~ любовь~ кровь из носа~ очень красивый,5,мур
